Designator,Mid X,Mid Y,Layer,Rotation
C1,15.08,8.9,Top,180
C2,8.95,5.18,Top,270
C3,7.93,22.03,Top,90
C4,12.92,8.9,Top,180
C6,19.35,2.13,Top,0
D1,8.08,12.5,Top,270
D2,19.46,5.24,Top,90
FB1,19.35,3.2,Top,0
IC1,14,12.5,Top,180
IC2,13.49,4.43,Top,270
JD1,0,12.5,Top,90
JD2,28,12.5,Top,270
R1,12.92,16.75,Top,180
R2,15.08,16.75,Top,0
R3,20.27,7.26,Top,0
R5,7.54,14.94,Top,270
R6,8.03,10.66,Top,0
R8,8.61,14.94,Top,270
U1,10.06,22.02,Top,90
JD1,0,12.5,Bottom,90
JD2,28,12.5,Bottom,270
